,Player Name,Player Team,Player Matches,Innines,Not Out,Total Runs,High Score,AVG
0,Shubman Gill,GT,17,17,2,890,129,59.33
1,Faf Du Plessis,RCB,14,14,1,730,84,56.15
2,Devon Conway,CSK,16,15,2,672,92*,51.69
3,Virat Kohli,RCB,14,14,2,639,101*,53.25
4,Yashasvi Jaiswal,RR,14,14,1,625,124,48.08
5,Suryakumar Yadav,MI,16,16,2,605,103*,43.21
6,Ruturaj Gaikwad,CSK,16,15,1,590,92,42.14
7,David Warner,DC,14,14,0,516,86,36.86
8,Rinku Singh,KKR,14,14,6,474,67*,59.25
9,Ishan Kishan,MI,15,15,0,454,75,30.27
10,Cameron Green,MI,16,16,7,452,100*,50.22
11,Heinrich Klaasen,SRH,12,11,2,448,104,49.78
12,Shivam Dube,CSK,16,14,3,418,52,38.00
13,Nitish Rana,KKR,14,14,1,413,75,31.77
14,Marcus Stoinis,LSG,15,15,2,408,89*,31.38
15,Venkatesh Iyer,KKR,14,14,0,404,104,28.86
16,Glenn Maxwell,RCB,14,14,2,400,77,33.33
17,Jos Buttler,RR,14,14,0,392,95,28.00
18,Kyle Mayers,LSG,13,13,0,379,73,29.15
19,Shikhar Dhawan,PBKS,11,11,2,373,99*,41.44
20,Wriddhiman Saha,GT,17,17,1,371,81,23.19
21,Sanju Samson,RR,14,14,2,362,66*,30.17
22,Sai Sudharsan,GT,8,8,1,362,96,51.71
23,Nicholas Pooran,LSG,15,15,3,358,62,29.83
24,Simran Singh,PBKS,14,14,0,358,103,25.57
25,Hardik Pandya,GT,16,15,4,346,66,31.45
26,Tilak Varma,MI,11,11,3,343,84*,42.88
27,Rohit Sharma,MI,16,16,0,332,65,20.75
28,Ajinkya Rahane,CSK,14,11,1,326,71*,32.60
29,Jitesh Sharma,PBKS,14,14,1,309,49*,23.77
30,Vijay Shankar,GT,14,10,2,301,63*,37.63
31,Shimron Hetmyer,RR,14,13,5,300,56*,37.50
32,Jason Roy,KKR,8,8,0,285,61,35.63
33,Axar Patel,DC,14,13,3,283,54,28.30
34,Liam Livingstone,PBKS,9,9,1,279,94,34.88
35,Sam Curran,PBKS,14,13,3,276,55,27.60
36,K L Rahul,LSG,9,9,1,274,74,34.25
37,Rahul Tripathi,SRH,13,13,1,273,74*,22.75
38,Mayank Agarwal,SRH,10,10,0,270,83,27.00
39,Devdutt Padikkal,RR,11,11,1,261,52,26.10
40,David Miller,GT,16,13,5,259,46,32.38
41,Aiden Markram,SRH,13,13,2,248,50,22.55
42,Nehal Wadera,MI,14,10,1,241,64,26.78
43,Ayush Badoni,LSG,15,12,2,238,59*,23.80
44,Tim David,MI,16,15,6,231,45*,25.67
45,Andre Russell,KKR,14,14,3,227,42,20.64
46,Rahmanullah Gurbaz,KKR,11,11,0,227,81,20.64
47,Abhishek Sharma,SRH,11,11,0,226,67,20.55
48,Phil Salt,DC,9,9,1,218,87,27.25
49,Rilee Rossouw,DC,9,9,2,209,82*,29.86
50,Ravindra Jadeja,CSK,16,12,4,190,25*,23.75
51,Harry Brook,SRH,11,11,2,190,100*,21.11
52,Krunal Pandya,LSG,15,14,4,188,49*,18.80
53,Atharva Taide,PBKS,7,7,0,186,66,26.57
54,Abdul Samad,SRH,9,8,4,169,37*,42.25
55,Manish Pandey,DC,10,9,0,160,50,17.78
56,Ambati Rayudu,CSK,16,12,2,158,27*,15.80
57,Shahrukh Khan,PBKS,14,13,6,156,41*,22.29
58,Dhruv Jurel,RR,13,11,4,152,34*,21.71
59,Quinton De Kock,LSG,4,4,0,143,70,35.75
60,Dinesh Karthik,RCB,13,13,1,140,30,11.67
61,Sikandar Raza,PBKS,7,7,2,139,57,27.80
62,Mahipal Lomror,RCB,12,10,2,135,54*,16.88
63,Rashid Khan,GT,17,9,5,130,79*,32.50
64,Mitchell Marsh,DC,9,9,0,128,63,14.22
65,Moeen Ali,CSK,15,10,3,124,23,17.71
66,Matthew Short,PBKS,6,6,0,117,36,19.50
67,Abhinav Manohar,GT,9,6,0,114,42,19.00
68,Shardul Thakur,KKR,11,10,2,113,68,14.13
69,Aman Khan,DC,11,9,1,110,51,13.75
70,Prithvi Shaw,DC,8,8,0,106,54,13.25
71,Anmolpreet Singh,SRH,4,4,0,105,36,26.25
72,MS Dhoni,CSK,16,12,8,104,32*,26.00
73,Prerak Mankad,LSG,5,5,2,93,64*,31.00
74,Anuj Rawat,RCB,9,7,4,91,29*,30.33
75,Jagadeesan Narayan,KKR,6,6,0,89,36,14.83
76,Rahul Tewatia,GT,17,10,6,87,20*,21.75
77,Deepak Hooda,LSG,12,12,1,84,17,7.64
78,Riyan Parag,RR,7,7,1,78,20,13.00
79,Harpreet Bhatia,PBKS,3,3,0,76,41,25.33
80,Bhanuka Rajapaksa,PBKS,4,4,1,71,50,23.67
81,Vivrant Sharma,SRH,3,1,0,69,69,69.00
82,Ravichandran Ashwin,RR,13,10,4,67,30,11.17
83,Lalit Yadav,DC,6,6,1,66,38,13.20
84,Krishnappa Gowtham,LSG,7,7,3,61,23,15.25
85,Washington Sundar,SRH,7,5,1,60,24*,15.00
86,Michael Bracewell,RCB,5,4,2,58,26,29.00
87,Sarfaraz Khan,DC,4,4,0,53,30,13.25
88,Harpreet Brar,PBKS,13,8,2,52,17*,8.67
89,Ripal Patel,DC,5,4,1,49,23,16.33
90,Shahbaz Ahmed,RCB,10,6,2,42,20*,10.50
91,Bhuvneshwar Kumar,SRH,14,6,3,42,27,14.00
92,Glenn Phillips,SRH,5,5,0,39,25,7.80
93,Marco Jansen,SRH,8,6,3,39,17*,13.00
94,Anrich Nortje,DC,10,7,4,37,23*,12.33
95,Vishnu Vinod,MI,3,3,0,37,30,12.33
96,Suyash S Prabhudessai,RCB,5,4,0,35,19,8.75
97,David Willey,RCB,4,3,3,35,20*,-
98,Wanindu Hasaranga,RCB,8,5,3,33,12*,16.50
99,Abishek Porel,DC,4,4,0,33,20,8.25
100,Kuldeep Yadav,DC,14,10,8,31,10*,15.50
101,Dasun Shanaka,GT,3,3,1,26,17,13.00
102,Piyush Chawla,MI,16,4,2,25,18,12.50
103,Tristan Stubbs,MI,2,2,0,25,20,12.50
104,Hrithik Shokeen,MI,8,3,2,23,18*,23.00
105,Anukul Roy,KKR,4,4,2,23,13*,11.50
106,Adil Rashid,SRH,2,2,0,22,18,11.00
107,Priyam Garg,DC,2,2,0,22,12,11.00
108,David Wiese,KKR,3,3,2,21,12*,21.00
109,Mayank Markande,SRH,10,3,3,21,18*,-
110,Sunil Narine,KKR,14,10,3,21,7*,3.00
111,Rishi Dhawan,PBKS,6,3,1,20,19,10.00
112,Ravi Bishnoi,LSG,15,7,4,20,5,6.67
113,Umran Malik,SRH,8,2,1,19,19*,19.00
114,Umesh Yadav,KKR,8,5,3,19,6*,9.50
115,Amit Mishra,LSG,7,1,0,19,19,19.00
116,Arshad Khan,MI,6,3,1,18,15*,9.00
117,Akash Deep,RCB,2,1,0,17,17,17.00
118,Akeal Hosein,SRH,1,1,1,16,16*,-
119,Trent Boult,RR,10,4,3,16,15,16.00
120,Praveen Dubey,DC,1,1,0,16,16,16.00
121,Naveen-Ul-Haq,LSG,8,3,2,16,13,16.00
122,Yash Dhull,DC,4,3,0,16,13,5.33
123,Ben Stokes,CSK,2,2,0,15,8,7.50
124,Mandeep Singh,KKR,3,3,0,14,12,4.67
125,Arjun Tendulkar,MI,4,1,0,13,13,13.00
126,Vyshak Vijaykumar,RCB,7,2,1,13,13*,13.00
127,Kedar Jadhav,RCB,2,1,1,12,12*,-
128,Jason Holder,RR,8,3,1,12,11,6.00
129,Karan Sharma,LSG,2,2,0,12,9,6.00
130,Mark Wood,LSG,4,2,1,11,10*,11.00
131,Sanvir Singh,SRH,2,2,1,11,7,11.00
132,Manan Vohra,LSG,1,1,0,10,10,10.00
133,Joe Root,RR,3,1,0,10,10,10.00
134,Adam Zampa,RR,6,3,0,10,7,3.33
135,Jaydev Unadkat,LSG,3,1,0,9,9,9.00
136,Noor Ahmad,GT,13,3,1,8,7*,4.00
137,Mukesh Kumar,DC,10,3,3,7,6*,-
138,Rovman Powell,DC,3,3,0,7,4,2.33
